"LANGUAGE","English","French","Italian","Spanish","German","Czech"
,,,,,,
"COMMENT","Date and Time","Date et heure","Data e ora","Fecha y hora","Datum und Uhrzeit","Datum a Ëas"
"STR_SUNDAY","Sun","Dim","Dom","Dom","So","Ne"
"STR_MONDAY","Mon","Lun","Lun","Lun","Mo","Po"
"STR_TUESDAY","Tue","Mar","Mar","Mar","Di","⁄t"
"STR_WEDNESDAY","Wed","Mer","Mer","MiÈ","Mi","St"
"STR_THURSDAY","Thu","Jeu","Gio","Jue","Do","»t"
"STR_FRIDAY","Fri","Ven","Ven","Vie","Fr","P·"
"STR_SATURDAY","Sat","Sam","Sab","S·b","Sa","So"
,,,,,,
"STR_JANUARY","Jan","Jan","Gen","Ene","Jan","I"
"STR_FEBRUARY","Feb","FÈv","Feb","Feb","Feb","II"
"STR_MARCH","Mar","Mar","Mar","Mar","M‰r","III"
"STR_APRIL","Apr","Avr","Apr","Abr","Apr","IV"
"STR_MAY","May","Mai","Mag","May","Mai","V"
"STR_JUNE","Jun","Jun","Giu","Jun","Jun","VI"
"STR_JULY","Jul","Juil","Lug","Jul","Jul","VII"
"STR_AUGUST","Aug","Ao˚","Ago","Ago","Aug","VIII"
"STR_SEPTEMBER","Sep","Sep","Set","Sep","Sep","IX"
"STR_OCTOBER","Oct","Oct","Ott","Oct","Okt","X"
"STR_NOVEMBER","Nov","Nov","Nov","Nov","Nov","XI"
"STR_DECEMBER","Dec","DÈc","Dic","Dic","Dez","XII"
,,,,,,
"STR_DATE_FORMAT","%a, %b %d","%a, %b %d","%a, %b %d","%a, %b %d","%a, %b %d","%a, %d. %b."
"STR_DATE_FORMAT_SHORT","%b %d","%b %d","%d %b","%b %d","%b %d","%d. %b."
"STR_TIME_FORMAT","% 2d:%02d","% 2d:%02d","% 2d:%02d","% 2d:%02d","% 2d:%02d","% 2d:%02d"
"STR_MAP_INFO_OLD","Info age: % 2d:%02d","DurÈe info†: % 2d:%02d","Info et‡: % 2d:%02d","Disponible de la informaciÛn: % 2d:%02d","Info-Alter: % 2d:%02d","St·¯Ì infce: % 2d:%02d"
,,,,,,
"STR_RESOLUTION_FORMAT","%d x %d x %d","%d x %d x %d","%d x %d x %d","%d x %d x %d","%d x %d x %d","%d x %d x %d"
"STR_REFRESH_RATE_FORMAT","%d Hz","%d Hz","%d Hz","%d Hz","%d Hz","%d Hz"
"STR_WINDOWED","Windowed","En fenÍtre","Windowed","Dividido en ventanas","Im Fenster","V oknÏ"
,,,,,,
"COMMENT","Sides","Camps","Fronti","Bandos","Seiten","Strany"
"STR_WEST","West","Ouest","NATO","Oeste","Westen","Z·pad"
"STR_EAST","East","Est","Russi","Este","Osten","V˝chod"
"STR_GUERRILA","Resistance","RÈsistance","Resistenza","Resistencia","Widerstandsk‰mpfer","Partyz·ni"
"STR_CIVILIAN","Civilian","Civil","Civili","Civiles","Zivilisten","CivilistÈ"
"STR_LOGIC","Game Logic","Logique de jeu","Logica di gioco","LÛgica del juego","Logik des Spiels","Logika hry"
"STR_EMPTY","Empty","Vide","Vuoto","VacÌo","Leer","Pr·zdn˝"
"STR_NOBODY","Nobody","Personne","Nessuno","Nadie","Niemand","Nikdo"
,,,,,,
"COMMENT","Ranks","Grades","Gradi","GraduaciÛn","Dienstgrade","Hodnosti"
"STR_PRIVATE","Private","Soldat","Soldato","Soldado raso","Soldat","VojÌn"
"STR_CORPORAL","Corporal","Caporal","Caporale","Cabo","Gefreiter","Des·tnÌk"
"STR_SERGEANT","Sergeant","Sergent","Sergente","Sargento","Feldwebel","Serûant"
"STR_LIEUTNANT","Lieutenant","Lieutenant","Tenente","Teniente","Leutnant","PoruËÌk"
"STR_CAPTAIN","Captain","Capitaine","Capitano","Capit·n","Hauptmann","Kapit·n"
"STR_MAJOR","Major","Commandant","Maggiore","Comandante","Major","Major"
"STR_COLONEL","Colonel","Colonel","Colonnello","Coronel","Oberst","PlukovnÌk"
"STR_GENERAL","General","GÈnÈral","Generale","General","General","Gener·l"
,,,,,,
"STR_SHORT_PRIVATE","Pvt","Sldt","Sold","Sold","Sold","Voj"
"STR_SHORT_CORPORAL","Corp","Capo","Capor","Cabo","Gefr","Des"
"STR_SHORT_SERGEANT","Sgt","Sgt","Serg","Sarg","Feldw","Srû"
"STR_SHORT_LIEUTNANT","Ltn","Ltn","Ten","Ten","Leutn","Por"
"STR_SHORT_CAPTAIN","Cpt","Cpt","Capit","Cap","Hptm","Kap"
"STR_SHORT_MAJOR","Mjr","Cdt","Magg","Com","Ma","Maj"
"STR_SHORT_COLONEL","Col","Col","Col","Cor","Ob","Plk"
"STR_SHORT_GENERAL","Gen","GÈn","Gen","Gen","Gen","Gen"
,,,,,,
"COMMENT","Combat modes and Formations","Modes de combat et formations","Modalit‡ di combattimento e formazioni","Modalidades de combate y formaciones","Kampfmodi und Formationen","Reûimy a formace"
"STR_IGNORE","Never fire","Ne jamais tirer","Non sparare mai","No disparar nunca","Nie feuern","Nikdy nest¯Ìlet"
"STR_BYPASS","Hold fire","Ne pas tirer","Non sparare","Alto el fuego","Feuerpause","Nest¯Ìlet"
"STR_WHITE","Hold fire, Engage at will","Ne pas tirer, Feu ‡ volontÈ","Non sparare, Attaccare al momento opportuno","Alto el fuego, atacar a discreciÛn","Feuerpause, Eigenst‰ndiger Angriff ","Nest¯Ìlet, formace voln·"
"STR_CONTACT","Open fire","Ouvrir le feu","Aprire il fuoco","Abrir fuego","Feuer erˆffnen","St¯Ìlet norm·lnÏ"
